type,nr,localized_name,api_name,unoconv,extensions,flags
presentation,20,MET - OS/2 Metafile,impress_met_Export,met,met,EXPORT ALIEN SUPPORTSSELECTION
presentation,21,PBM - Portable Bitmap,impress_pbm_Export,pbm,pbm,EXPORT ALIEN SUPPORTSSELECTION
presentation,22,PCT - Mac Pict,impress_pct_Export,pct,pct,EXPORT ALIEN SUPPORTSSELECTION
presentation,23,PDF - Portable Document Format,impress_pdf_Export,pdf,pdf,EXPORT ALIEN 3RDPARTYFILTER
presentation,24,PGM - Portable Graymap,impress_pgm_Export,pgm,pgm,EXPORT ALIEN SUPPORTSSELECTION
presentation,25,PNG - Portable Network Graphic,impress_png_Export,png,png,EXPORT ALIEN SUPPORTSSELECTION
presentation,26,PPM - Portable Pixelmap,impress_ppm_Export,ppm,ppm,EXPORT ALIEN SUPPORTSSELECTION
presentation,27,RAS - Sun Raster Image,impress_ras_Export,ras,ras,EXPORT ALIEN SUPPORTSSELECTION
presentation,28,Microsoft PowerPoint 2007 XML Template,Impress MS PowerPoint 2007 XML Template,potm,potx potm,IMPORT TEMPLATE TEMPLATEPATH ALIEN 3RDPARTYFILTER PREFERED
presentation,29,ODF Drawing (Impress),impress8_draw,odg,odg,IMPORT EXPORT TEMPLATE OWN
presentation,30,PWP - PlaceWare,placeware_Export,pwp,pwp,EXPORT ALIEN 3RDPARTYFILTER
presentation,31,OpenOffice.org 1.0 Drawing (OpenOffice.org Impress),impress_StarOffice_XML_Draw,sxd,sxd,IMPORT EXPORT TEMPLATE OWN ALIEN
presentation,32,Microsoft PowerPoint 2007 XML,Impress MS PowerPoint 2007 XML,,pptx pptm,IMPORT ALIEN 3RDPARTYFILTER PREFERED
presentation,33,XHTML,XHTML Impress File,xhtml,xml,EXPORT ALIEN 3RDPARTYFILTER
presentation,34,Macromedia Flash (SWF),impress_flash_Export,swf,swf,EXPORT ALIEN 3RDPARTYFILTER
presentation,35,CGM - Computer Graphics Metafile,CGM - Computer Graphics Metafile,,,IMPORT ALIEN
presentation,36,Microsoft PowerPoint 97/2000/XP,MS PowerPoint 97,pps ppt pptx,pps ppt pptx,IMPORT EXPORT ALIEN
presentation,37,StarImpress 4.0,StarImpress 4.0,sdd4,sdd,IMPORT EXPORT TEMPLATE OWN ALIEN 3RDPARTYFILTER PREFERED
presentation,38,ODF Presentation Template,impress8_template,otp,otp,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN
presentation,39,StarImpress 4.0 Template,StarImpress 4.0 Vorlage,vor4,vor,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN 3RDPARTYFILTER
presentation,40,StarImpress 5.0 Template,StarImpress 5.0 Vorlage,vor,vor,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN 3RDPARTYFILTER
